geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
4144366,Rodney Village,Rodney Village,"Rodney Village,Rodni-Villedzh,luo de ni cun,rodni bhileja,rwdny,Родни-Вилледж,Родні-Вілледж,رادنی‌ویلج,رادنی‌ویلج، دلاویر,رودنى,رودني,रोड्नी भिलेज,羅德尼村",39.13206,-75.53242,P,PPL,US,,DE,1,,,1487,12.0,13,America/New_York,2011-05-14
4144600,Seaford,Seaford,"Hooper's Landing,Hoopers Landing,Seaford,Seaford City,Seford,Siford,shifodo,sipharda,syfwrd,syfwrd  dlawr,syfwrd  dlawyr,xi fu de,Сифорд,Сіфорд,سيفورد,سیفورد، دلاور,سیفورد، دلاویر,سیفورڈ، ڈیلاویئر,सीफर्ड,シーフォード,錫福德,锡福德",38.64123,-75.61104,P,PPL,US,,DE,5,,,7586,7.0,5,America/New_York,2026-08-30
4144620,Selbyville,Selbyville,"Sandy Branch,Selbyville",38.46039,-75.22074,P,PPL,US,,DE,5,,,2397,11.0,11,America/New_York,2017-03-09
4144743,Slaughter Beach,Slaughter Beach,,38.91289,-75.30408,P,PPL,US,,DE,5,,,230,2.0,3,America/New_York,2017-03-09
4144764,Smyrna,Smyrna,"Cross Roads,Duck Creek,Duck Creek Cross Roads,Duck Creek Town,Smirna,Smyrna,smirna,smyrna,smyrna  dlawr,Смирна,سمرنا، ڈیلاویئر,سميرنا,سمیرنا، دلاور,स्मीर्ना",39.29983,-75.60465,P,PPL,US,,DE,1,,,11319,10.0,10,America/New_York,2017-03-09
4144787,South Bethany,South Bethany,"Saut Betani,btany jnwby  dlawr,nan bo da ni,sa'utha bethyani,sawth bythany,Саут Бетани,بتانی جنوبی، دلاور,جنوبی بیتھانی، ڈیلاویئر,ساوث بيثاني,साउथ बेथ्यानी,南伯达尼",38.5165,-75.05296,P,PPL,US,,DE,5,,,497,1.0,7,America/New_York,2017-03-09
4145047,Townsend,Townsend,"Charleston,Charley Town,Charleytown,Taunsend,Townsend,ta'unasenda,tang sen de,tawnsnd,tawnsnd  dlawr,Таунсенд,تاونسند,تاونسند، دلاور,ٹاؤن سینڈ، ڈیلاویئر,टाउनसेन्ड,汤森德",39.39511,-75.6916,P,PPL,US,,DE,3,,,2177,20.0,23,America/New_York,2026-08-30
4145151,Viola,Viola,"Canterbury Station,Viola",39.04289,-75.57187,P,PPL,US,,DE,1,,,170,18.0,18,America/New_York,2017-03-09
4145381,Wilmington,Wilmington,"Christinahamn,Fort Altena,Fort Christina,ILG,Uilmingtan,Uilmington,Uilmingtun,Vilmington,Vilmingtona,Vilmingtonas,Vilmingtonia,Vilmingtono,Walmington,Willington,Willingtown,Wilmington,Wilmington (Delaware),Wilmington City,Wilmington i Delaware,uiruminton,vilmingatana,wei er ming dun,wilmingteon,wylmnghtwn,wylmyngtwn,wylmyngtwn  dlawr,Вилмингтон,Вілмінгтон,Уилмингтон,Уилмингтън,Уілмінгтан,וילמינגטון,ويلمنغتون,ویلمینگتون، دلاور,ویلمینگٹن، ڈیلاویئر,विल्मिंगटन,უილმინგტონი,ウィルミントン,威尔明顿,윌밍턴",39.74595,-75.54659,P,PPLA2,US,,DE,3,,,70898,28.0,37,America/New_York,2025-06-26
4145395,Wilmington Manor,Wilmington Manor,"Vilmington-Manor,Wilmington Manor,vilmingatana myanora,wei er ming dun zhuang yuan,wylmynghtwn manwr,wylmyngtn mnr,wylmynqtn mnr  dlawyr,Вилмингтон-Манор,Вілмінгтон-Манор,ويلمينغتون مانور,ویلمینقتن منر، دلاویر,ویلمینگتن منر,ویلمینگٹن مینور، ڈیلاویئر,विल्मिंगटन म्यानोर,威爾明頓莊園",39.68678,-75.58437,P,PPL,US,,DE,3,,,7889,18.0,21,America/New_York,2011-05-14
4145471,Woodside,Woodside,"Burnt House Crossroad,Fredonia,Woodside",39.0715,-75.56826,P,PPL,US,,DE,1,,,196,17.0,18,America/New_York,2017-03-09
4145483,Wyoming,Wyoming,"Camden Station,Vajoming,West Camden,Wyoming,huai e ming,vayominga,waywmngh,waywmyng  dlawr,Вайоминг,Вайомінг,Вајоминг,وايومنغ,وایومنگ، ڈیلاویئر,وایومینگ، دلاور,वायोमिंग,怀俄明",39.11817,-75.55881,P,PPL,US,,DE,1,,,1465,13.0,14,America/New_York,2017-03-09
4236895,Decatur,Decatur,"DEC,Decatur,Dekaturo,Dekejter,Dekejtur,dekatara,di kai te,dikatura,dikeiteo,diketa,diketara,dikhe the xr,dykadwr,dykytwr  aylynwy,Декейтер,Декејтур,ديكادور,دیکیتور، ایلینوی,ڈیکاٹر، الینوائے,डिकॅटर,डेकाटर,ডিকাটুর,ดิเคเทอร์,ディケーター,迪凯特,디케이터",39.84031,-88.9548,P,PPLA2,US,,IL,115,18836.0,,73254,205.0,206,America/Chicago,2017-05-23
4464897,Edenton,Edenton,"EDE,Edenton,Identon,Town on Matecomack Creek,Town on Queen Annes Creek,adntwn  karwlynay shmaly,adyntwn,Идентон,إدينتون,ادنتون، کارولینای شمالی",36.05794,-76.60772,P,PPLA2,US,,NC,41,,,4849,3.0,6,America/New_York,2026-08-30
4853608,Decorah,Decorah,"DEH,Dehkorakh,dkwrah  aywwa,dykwrah,Дэкорах,ديكوراه,دکوراه، آیووا",43.30331,-91.78571,P,PPLA2,US,,IA,191,90924.0,,7907,268.0,271,America/Chicago,2026-08-30
5017385,Baudette,Baudette,"BDE,Baudehtt,Baudette,Bodett,City of Baudette,bao de te,bawdyt,Баудэтт,Бодетт,باؤدیت، مینیسوٹا,باودت، مینه‌سوتا,باوديت,包地特",48.71247,-94.59993,P,PPLA2,US,,MN,77,4024.0,,1063,331.0,329,America/Chicago,2017-05-23
5070216,Holdrege,Holdrege,"HDE,Holdredge,Holdrege,Kholdridzh,huo er de li qi,hwldrg  nbraska,hwldryj,Холдридж,هولدريج,هولدرگ، نبراسکا,霍爾德里奇",40.44029,-99.36982,P,PPLA2,US,,NE,137,,,5561,710.0,716,America/Chicago,2017-03-09
5419384,Denver,Denver,"DEN,Dehnver,Denber,Denvr,Denver,Denver County,Denvera,Denveres,Denveris,Denverium,Denvero,Denverės,Denwer,Dénwér,Mile-High City,Ntenver,Queen City of the Plains,Saint Charles,The Mexican Diggings,The Spanish Diggings,dainavara,dan fu,denabhara,denabhara ka'unti,denavara,denba,denbeo,denbhara,denvar,denveri,denvhara,denwexr,dnfr,dnwr,dnwr  klradw,dnwwr,tenvar,Ντένβερ,Денвер,Денвър,Дэнвер,Դենվեր,דנוור,דענווער,دنفر,دنور,دنور، کلرادو,ڈینور,ډnwr,ډنور,डॅनवर,डेन्भर,डेन्वर्,डेन्व्हर,देन्भर,ডেনভার,ডেনভার কাউন্টি,ਡੈਨਵਰ,டென்வர்,డెన్వర్,ഡെൻവർ,เดนเวอร์,დენვერი,ደንቨር,デンバー,丹佛,덴버",39.73915,-104.9847,P,PPLA,US,,CO,31,,,729019,1609.0,1636,America/Denver,2026-04-14
7258211,Dover Base Housing,Dover Base Housing,"Dover Base Housing,Dover Base Housing CDP",39.11763,-75.48393,P,PPL,US,,DE,1,,,3450,6.0,8,America/New_York,2011-05-14
7258553,Rising Sun-Lebanon,Rising Sun-Lebanon,"Lebanon,Leviganta Suno-Lebanono,Leviĝanta Suno-Lebanono,Rajzing-San-Lebanon,Rising Sun-Lebanon,Rising Sun-Lebanon CDP,lai xin sen-li ba nen,ra'ijinga sanalebanan,rayzyng san lbnan,rayzynq san lbnan  dlawyr,Райзинг-Сан-Лебанон,Райзінг-Сан-Лебанон,رایزینق سان لبنان، دلاویر,رایزینگ سان لبنان,राइजिंग सनलेबानन्,萊辛森-黎巴嫩",39.09977,-75.50488,P,PPL,US,,DE,1,,,3391,8.0,8,America/New_York,2011-05-14
7259226,Woodside East,Woodside East,"Vudsajd-Ist,Woodside East,Woodside East CDP,dong wu de sai de,vudsa'ida ista,wdsayd ayst,wwdsayt ayst,wwdsayt ayst  dlawyr,Вудсайд-Іст,Вудсайд-Ист,ودسايد إيست,ودسايد ايست,وودسایت ایست,وودسایت ایست، دلاویر,वूड्साइड इस्ट,東伍德賽德",39.06756,-75.53748,P,PPL,US,,DE,1,,,2316,14.0,16,America/New_York,2011-05-14
11496827,Stephen R Korup / Joseph B Riddle,Stephen R Korup / Joseph B Riddle,,39.2344,-75.74037,P,PPL,US,,DE,1,,,75,5.0,19,America/New_York,2017-03-27
